Version   Modules   Number_of_Alignment_Pattern   Row/Col   EC   Total_number_of_codewords   Remainder_Bits   Number_of_data_codewords   Number_of_data_bits   Numeric   Alphanumeric   Byte   Kanji   Number_of_EC_codewords   Value_of_p   Number_of_error_correction_blocks_1   Number_of_error_correction_blocks_1.1   Error_correction_per_block   
-4   11   0   nan   nan   5   0   3   20   5   nan   nan   nan   2   2   1   0   5,3,0   
-3   13   0   nan   L   10   0   5   40   10   6.0   nan   nan   5   3   1   0   10,5,1   
-3   13   0   nan   M   10   0   4   32   8   5.0   nan   nan   6   2   1   0   10,4,2   
-2   15   0   nan   L   17   0   11   84   23   14.0   9.0   6.0   6   2   1   0   17,11,2   
-2   15   0   nan   M   17   0   9   68   18   11.0   7.0   4.0   8   2   1   0   17,9,3   
-1   17   0   nan   L   24   0   16   128   35   21.0   15.0   9.0   8   2   1   0   24,16,3   
-1   17   0   nan   M   24   0   14   112   30   18.0   13.0   8.0   10   0   1   0   24,14,5   
-1   17   0   nan   Q   24   0   10   80   21   13.0   9.0   5.0   14   0   1   0   24,10,7   
1   21   0   nan   L   26   0   19   152   41   25.0   17.0   10.0   7   3   1   0   26,19,2   
1   21   0   nan   M   26   0   16   128   34   20.0   14.0   8.0   10   2   1   0   26,16,4   
1   21   0   nan   Q   26   0   13   104   27   16.0   11.0   7.0   13   1   1   0   26,13,6   
1   21   0   nan   H   26   0   9   72   17   10.0   7.0   4.0   17   1   1   0   26,9,8   
2   25   1   6,18   L   44   7   34   272   77   47.0   32.0   20.0   10   2   1   0   44,34,4   
2   25   1   6,18   M   44   7   28   224   63   38.0   26.0   16.0   16   0   1   0   44,28,8   
2   25   1   6,18   Q   44   7   22   176   48   29.0   20.0   12.0   22   0   1   0   44,22,11   
2   25   1   6,18   H   44   7   16   128   34   20.0   14.0   8.0   28   0   1   0   44,16,14   
3   29   1   6,22   L   70   7   55   440   127   77.0   53.0   32.0   15   1   1   0   70,55,7   
3   29   1   6,22   M   70   7   44   352   101   61.0   42.0   26.0   26   0   1   0   70,44,13   
3   29   1   6,22   Q   70   7   34   272   77   47.0   32.0   20.0   36   0   2   0   35,17,9   
3   29   1   6,22   H   70   7   26   208   58   35.0   24.0   15.0   44   0   2   0   35,13,11   
4   33   1   6,26   L   100   7   80   640   187   114.0   78.0   48.0   20   0   1   0   100,80,10   
4   33   1   6,26   M   100   7   64   512   149   90.0   62.0   38.0   36   0   2   0   50,32,9   
4   33   1   6,26   Q   100   7   48   384   111   67.0   46.0   28.0   52   0   2   0   50,24,13   
4   33   1   6,26   H   100   7   36   288   82   50.0   34.0   21.0   64   0   4   0   25,9,8   
5   37   1   6,30   L   134   7   108   864   255   154.0   106.0   65.0   26   0   1   0   134,108,13   
5   37   1   6,30   M   134   7   86   688   202   122.0   84.0   52.0   48   0   2   0   67,43,12   
5   37   1   6,30   Q   134   7   62   496   144   87.0   60.0   37.0   72   0   2   2   33,15,9;34,16,9   
5   37   1   6,30   H   134   7   46   368   106   64.0   44.0   27.0   88   0   2   2   33,11,11;34,12,11   
